Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1449,559 m,4 m,0:00:05,2.6 km/h,304.9° true,6/16/2023 14:54,N36° 31.861' E32° 18.975'
1450,559 m,10 m,0:00:13,2.8 km/h,254.2° true,6/16/2023 14:54,N36° 31.863' E32° 18.973'
1451,557 m,9 m,0:00:14,2.4 km/h,268.6° true,6/16/2023 14:54,N36° 31.861' E32° 18.967'
1452,557 m,11 m,0:00:15,2.7 km/h,271.7° true,6/16/2023 14:55,N36° 31.861' E32° 18.960'
1453,557 m,10 m,0:00:16,2.3 km/h,328.5° true,6/16/2023 14:55,N36° 31.861' E32° 18.953'
1454,557 m,13 m,0:00:17,2.7 km/h,1.8° true,6/16/2023 14:55,N36° 31.866' E32° 18.949'
1455,555 m,2 m,0:00:02,2.8 km/h,12.7° true,6/16/2023 14:55,N36° 31.873' E32° 18.950'
1456,555 m,6 m,0:00:13,1.8 km/h,315.4° true,6/16/2023 14:55,N36° 31.874' E32° 18.950'
1457,553 m,9 m,0:00:18,1.7 km/h,280.2° true,6/16/2023 14:56,N36° 31.876' E32° 18.947'
1458,551 m,8 m,0:00:11,2.6 km/h,30.3° true,6/16/2023 14:56,N36° 31.877' E32° 18.941'
1459,548 m,3 m,0:00:12,0.8 km/h,313.4° true,6/16/2023 14:56,N36° 31.881' E32° 18.944'
1460,546 m,3 m,0:00:17,0.6 km/h,334.7° true,6/16/2023 14:56,N36° 31.882' E32° 18.942'
1461,543 m,13 m,0:00:16,2.9 km/h,319.3° true,6/16/2023 14:57,N36° 31.883' E32° 18.942'
1462,541 m,6 m,0:00:14,1.6 km/h,274.1° true,6/16/2023 14:57,N36° 31.888' E32° 18.936'
1463,540 m,6 m,0:00:14,1.6 km/h,220.8° true,6/16/2023 14:57,N36° 31.888' E32° 18.932'
1464,538 m,0 m,0:00:06,0.3 km/h,353.3° true,6/16/2023 14:57,N36° 31.886' E32° 18.929'
1465,537 m,7 m,0:00:23,1.2 km/h,18.4° true,6/16/2023 14:57,N36° 31.886' E32° 18.929'
1466,536 m,10 m,0:00:18,2.1 km/h,312.6° true,6/16/2023 14:58,N36° 31.890' E32° 18.931'
1467,536 m,6 m,0:00:15,1.6 km/h,303.3° true,6/16/2023 14:58,N36° 31.894' E32° 18.926'
1468,536 m,12 m,0:00:18,2.3 km/h,254.2° true,6/16/2023 14:58,N36° 31.896' E32° 18.922'
1469,535 m,8 m,0:00:18,1.5 km/h,239.1° true,6/16/2023 14:59,N36° 31.894' E32° 18.915'
1470,532 m,4 m,0:00:16,1.0 km/h,314.0° true,6/16/2023 14:59,N36° 31.892' E32° 18.910'
1471,528 m,2 m,0:00:13,0.7 km/h,152.4° true,6/16/2023 14:59,N36° 31.893' E32° 18.908'
1472,524 m,7 m,0:00:20,1.3 km/h,265.2° true,6/16/2023 14:59,N36° 31.892' E32° 18.909'
1473,521 m,15 m,0:00:17,3.1 km/h,283.5° true,6/16/2023 15:00,N36° 31.892' E32° 18.904'
1474,516 m,5 m,0:00:15,1.2 km/h,229.6° true,6/16/2023 15:00,N36° 31.894' E32° 18.894'
