Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
58;509 м;234 м;0:00:11;77 км/ч;205.9° истина;20.03.2026 13:38;N55.29650° E59.47734°;
59;524 м;279 м;0:00:13;77 км/ч;203.5° истина;20.03.2026 13:38;N55.29461° E59.47572°;
60;535 м;193 м;0:00:09;77 км/ч;189.4° истина;20.03.2026 13:38;N55.29231° E59.47397°;
61;540 м;228 м;0:00:11;75 км/ч;174.7° истина;20.03.2026 13:38;N55.29061° E59.47347°;
62;555 м;212 м;0:00:10;76 км/ч;159.9° истина;20.03.2026 13:39;N55.28856° E59.47380°;
63;561 м;312 м;0:00:15;75 км/ч;156.0° истина;20.03.2026 13:39;N55.28677° E59.47496°;
64;580 м;316 м;0:00:15;76 км/ч;156.5° истина;20.03.2026 13:39;N55.28421° E59.47696°;
65;602 м;297 м;0:00:14;76 км/ч;155.9° истина;20.03.2026 13:39;N55.28161° E59.47895°;
66;620 м;341 м;0:00:16;77 км/ч;157.3° истина;20.03.2026 13:39;N55.27917° E59.48086°;
67;633 м;236 м;0:00:11;77 км/ч;164.5° истина;20.03.2026 13:40;N55.27635° E59.48294°;
68;638 м;143 м;0:00:07;73 км/ч;183.8° истина;20.03.2026 13:40;N55.27431° E59.48394°;
69;638 м;271 м;0:00:14;70 км/ч;197.9° истина;20.03.2026 13:40;N55.27303° E59.48379°;
70;629 м;227 м;0:00:12;68 км/ч;201.8° истина;20.03.2026 13:40;N55.27071° E59.48247°;
71;612 м;239 м;0:00:12;72 км/ч;200.5° истина;20.03.2026 13:40;N55.26882° E59.48115°;
72;597 м;226 м;0:00:11;74 км/ч;199.5° истина;20.03.2026 13:41;N55.26681° E59.47982°;
73;579 м;276 м;0:00:13;77 км/ч;195.2° истина;20.03.2026 13:41;N55.26490° E59.47864°;
74;561 м;199 м;0:00:09;80 км/ч;185.9° истина;20.03.2026 13:41;N55.26250° E59.47749°;
75;555 м;207 м;0:00:09;83 км/ч;176.5° истина;20.03.2026 13:41;N55.26073° E59.47717°;
76;547 м;271 м;0:00:11;89 км/ч;178.9° истина;20.03.2026 13:41;N55.25887° E59.47737°;
77;528 м;378 м;0:00:14;97 км/ч;177.8° истина;20.03.2026 13:42;N55.25644° E59.47746°;
78;503 м;329 м;0:00:12;99 км/ч;178.7° истина;20.03.2026 13:42;N55.25305° E59.47768°;
79;481 м;311 м;0:00:12;93 км/ч;177.8° истина;20.03.2026 13:42;N55.25009° E59.47780°;
80;462 м;195 м;0:00:09;78 км/ч;175.0° истина;20.03.2026 13:42;N55.24730° E59.47799°;
81;452 м;186 м;0:00:09;74 км/ч;159.8° истина;20.03.2026 13:42;N55.24556° E59.47826°;
82;441 м;144 м;0:00:07;74 км/ч;137.6° истина;20.03.2026 13:43;N55.24399° E59.47927°;
83;427 м;216 м;0:00:11;71 км/ч;130.9° истина;20.03.2026 13:43;N55.24304° E59.48079°;
84;422 м;265 м;0:00:14;68 км/ч;130.3° истина;20.03.2026 13:43;N55.24177° E59.48336°;
85;427 м;228 м;0:00:12;68 км/ч;130.6° истина;20.03.2026 13:43;N55.24023° E59.48655°;
86;428 м;246 м;0:00:13;68 км/ч;132.4° истина;20.03.2026 13:43;N55.23889° E59.48927°;
87;424 м;167 м;0:00:09;67 км/ч;140.8° истина;20.03.2026 13:43;N55.23740° E59.49214°;
88;412 м;159 м;0:00:09;64 км/ч;156.1° истина;20.03.2026 13:44;N55.23624° E59.49380°;
89;406 м;140 м;0:00:10;50 км/ч;159.8° истина;20.03.2026 13:44;N55.23494° E59.49481°;
90;405 м;12 м;0:00:01;42 км/ч;148.4° истина;20.03.2026 13:44;N55.23376° E59.49557°;
91;404 м;132 м;0:00:11;43 км/ч;134.5° истина;20.03.2026 13:44;N55.23367° E59.49567°;
92;403 м;155 м;0:00:13;43 км/ч;147.3° истина;20.03.2026 13:44;N55.23283° E59.49716°;
93;399 м;190 м;0:00:16;43 км/ч;159.6° истина;20.03.2026 13:44;N55.23166° E59.49847°;
94;397 м;196 м;0:00:16;44 км/ч;159.6° истина;20.03.2026 13:45;N55.23007° E59.49952°;
95;393 м;130 м;0:00:13;36 км/ч;159.7° истина;20.03.2026 13:45;N55.22841° E59.50059°;
96;389 м;158 м;0:00:13;44 км/ч;158.6° истина;20.03.2026 13:45;N55.22732° E59.50130°;
97;382 м;62 м;0:00:05;45 км/ч;152.7° истина;20.03.2026 13:45;N55.22600° E59.50221°;
98;384 м;114 м;0:00:09;46 км/ч;132.1° истина;20.03.2026 13:45;N55.22550° E59.50266°;
99;393 м;171 м;0:00:13;47 км/ч;128.9° истина;20.03.2026 13:46;N55.22481° E59.50399°;
100;401 м;159 м;0:00:12;48 км/ч;120.6° истина;20.03.2026 13:46;N55.22385° E59.50608°;
101;402 м;156 м;0:00:10;56 км/ч;123.0° истина;20.03.2026 13:46;N55.22312° E59.50824°;
102;391 м;185 м;0:00:10;66 км/ч;119.1° истина;20.03.2026 13:46;N55.22236° E59.51030°;
103;390 м;139 м;0:00:09;55 км/ч;109.8° истина;20.03.2026 13:46;N55.22155° E59.51284°;
104;394 м;112 м;0:00:10;40 км/ч;120.1° истина;20.03.2026 13:46;N55.22113° E59.51490°;
105;395 м;128 м;0:00:12;38 км/ч;144.4° истина;20.03.2026 13:47;N55.22063° E59.51643°;
106;398 м;47 м;0:00:06;28 км/ч;146.3° истина;20.03.2026 13:47;N55.21969° E59.51760°;
107;401 м;13 м;0:00:02;23 км/ч;160.4° истина;20.03.2026 13:47;N55.21935° E59.51801°;
108;401 м;55 м;0:00:12;17 км/ч;167.7° истина;20.03.2026 13:47;N55.21924° E59.51807°;
109;401 м;97 м;0:00:08;44 км/ч;173.2° истина;20.03.2026 13:47;N55.21876° E59.51826°;
110;401 м;30 м;0:00:02;54 км/ч;165.0° истина;20.03.2026 13:47;N55.21789° E59.51844°;
111;402 м;143 м;0:00:08;64 км/ч;147.9° истина;20.03.2026 13:47;N55.21763° E59.51856°;
112;406 м;40 м;0:00:02;72 км/ч;141.9° истина;20.03.2026 13:47;N55.21654° E59.51976°;
113;407 м;116 м;0:00:06;70 км/ч;120.6° истина;20.03.2026 13:47;N55.21626° E59.52015°;
114;410 м;63 м;0:00:03;75 км/ч;95.7° истина;20.03.2026 13:48;N55.21573° E59.52172°;
115;411 м;235 м;0:00:11;77 км/ч;90.5° истина;20.03.2026 13:48;N55.21567° E59.52270°;
116;422 м;319 м;0:00:15;77 км/ч;91.4° истина;20.03.2026 13:48;N55.21566° E59.52640°;
117;438 м;277 м;0:00:13;77 км/ч;93.9° истина;20.03.2026 13:48;N55.21559° E59.53142°;
118;450 м;197 м;0:00:10;71 км/ч;96.7° истина;20.03.2026 13:48;N55.21542° E59.53576°;
119;452 м;158 м;0:00:10;57 км/ч;111.7° истина;20.03.2026 13:48;N55.21521° E59.53884°;
120;447 м;172 м;0:00:11;56 км/ч;106.5° истина;20.03.2026 13:49;N55.21469° E59.54115°;
121;438 м;162 м;0:00:09;65 км/ч;86.9° истина;20.03.2026 13:49;N55.21425° E59.54374°;
122;428 м;225 м;0:00:11;74 км/ч;81.0° истина;20.03.2026 13:49;N55.21433° E59.54628°;
123;413 м;149 м;0:00:07;76 км/ч;89.1° истина;20.03.2026 13:49;N55.21464° E59.54978°;
124;403 м;107 м;0:00:05;77 км/ч;114.6° истина;20.03.2026 13:49;N55.21466° E59.55212°;
125;399 м;275 м;0:00:13;76 км/ч;130.0° истина;20.03.2026 13:49;N55.21426° E59.55365°;
126;407 м;168 м;0:00:08;76 км/ч;152.8° истина;20.03.2026 13:50;N55.21267° E59.55697°;
127;418 м;185 м;0:00:09;74 км/ч;148.2° истина;20.03.2026 13:50;N55.21133° E59.55818°;
128;421 м;178 м;0:00:10;64 км/ч;124.0° истина;20.03.2026 13:50;N55.20992° E59.55972°;
129;415 м;236 м;0:00:13;65 км/ч;114.9° истина;20.03.2026 13:50;N55.20902° E59.56204°;
130;405 м;231 м;0:00:11;76 км/ч;109.2° истина;20.03.2026 13:50;N55.20813° E59.56541°;
131;392 м;283 м;0:00:13;78 км/ч;107.2° истина;20.03.2026 13:50;N55.20745° E59.56884°;
132;381 м;319 м;0:00:15;76 км/ч;108.8° истина;20.03.2026 13:51;N55.20670° E59.57310°;
133;382 м;341 м;0:00:16;77 км/ч;108.2° истина;20.03.2026 13:51;N55.20577° E59.57785°;
134;384 м;209 м;0:00:10;75 км/ч;97.6° истина;20.03.2026 13:51;N55.20482° E59.58295°;
135;390 м;189 м;0:00:09;76 км/ч;76.4° истина;20.03.2026 13:51;N55.20457° E59.58621°;
136;394 м;176 м;0:00:09;70 км/ч;61.1° истина;20.03.2026 13:51;N55.20497° E59.58911°;
137;399 м;162 м;0:00:10;58 км/ч;60.5° истина;20.03.2026 13:52;N55.20573° E59.59154°;
138;403 м;16 м;0:00:01;58 км/ч;73.5° истина;20.03.2026 13:52;N55.20645° E59.59375°;
139;403 м;116 м;0:00:07;59 км/ч;87.9° истина;20.03.2026 13:52;N55.20649° E59.59399°;
140;403 м;178 м;0:00:10;64 км/ч;112.1° истина;20.03.2026 13:52;N55.20653° E59.59581°;
141;400 м;193 м;0:00:11;63 км/ч;121.5° истина;20.03.2026 13:52;N55.20592° E59.59841°;
142;400 м;155 м;0:00:09;62 км/ч;151.5° истина;20.03.2026 13:52;N55.20502° E59.60100°;
143;407 м;123 м;0:00:07;63 км/ч;178.1° истина;20.03.2026 13:52;N55.20379° E59.60216°;
144;408 м;158 м;0:00:09;63 км/ч;197.8° истина;20.03.2026 13:53;N55.20269° E59.60223°;
145;408 м;185 м;0:00:11;61 км/ч;193.4° истина;20.03.2026 13:53;N55.20134° E59.60147°;
146;412 м;136 м;0:00:08;61 км/ч;164.2° истина;20.03.2026 13:53;N55.19972° E59.60079°;
147;415 м;201 м;0:00:12;60 км/ч;152.6° истина;20.03.2026 13:53;N55.19854° E59.60138°;
148;414 м;174 м;0:00:12;52 км/ч;150.6° истина;20.03.2026 13:53;N55.19694° E59.60283°;
149;410 м;168 м;0:00:10;60 км/ч;137.5° истина;20.03.2026 13:53;N55.19558° E59.60418°;
150;409 м;262 м;0:00:15;63 км/ч;134.2° истина;20.03.2026 13:54;N55.19447° E59.60596°;
151;423 м;123 м;0:00:08;55 км/ч;158.7° истина;20.03.2026 13:54;N55.19283° E59.60892°;
152;431 м;115 м;0:00:11;38 км/ч;168.6° истина;20.03.2026 13:54;N55.19180° E59.60962°;
153;438 м;93 м;0:00:09;37 км/ч;152.1° истина;20.03.2026 13:54;N55.19078° E59.60998°;
