Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
666,11528 m,2.9 km,0:00:13,816 km/h,179.4° true,4/14/2022 5:38,N41° 50.722' E64° 29.885'
667,11527 m,2.7 km,0:00:12,815 km/h,179.4° true,4/14/2022 5:39,N41° 49.133' E64° 29.907'
668,11528 m,3.6 km,0:00:16,814 km/h,179.5° true,4/14/2022 5:39,N41° 47.669' E64° 29.926'
669,11527 m,2.9 km,0:00:13,815 km/h,179.5° true,4/14/2022 5:39,N41° 45.719' E64° 29.951'
670,11525 m,2.5 km,0:00:11,816 km/h,179.4° true,4/14/2022 5:39,N41° 44.133' E64° 29.971'
671,11522 m,5.2 km,0:00:23,816 km/h,179.3° true,4/14/2022 5:39,N41° 42.789' E64° 29.991'
672,11525 m,4.7 km,0:00:21,814 km/h,179.2° true,4/14/2022 5:40,N41° 39.981' E64° 30.036'
673,11526 m,3.4 km,0:00:15,814 km/h,179.2° true,4/14/2022 5:40,N41° 37.423' E64° 30.082'
674,11526 m,5.2 km,0:00:23,816 km/h,179.1° true,4/14/2022 5:40,N41° 35.595' E64° 30.118'
675,11528 m,4.8 km,0:00:21,819 km/h,179.1° true,4/14/2022 5:41,N41° 32.785' E64° 30.174'
676,11527 m,5.9 km,0:00:26,820 km/h,179.2° true,4/14/2022 5:41,N41° 30.211' E64° 30.225'
677,11526 m,4.1 km,0:00:18,821 km/h,179.1° true,4/14/2022 5:42,N41° 27.020' E64° 30.288'
678,11481 m,3.2 km,0:00:14,820 km/h,179.1° true,4/14/2022 5:42,N41° 24.808' E64° 30.332'
679,11384 m,3.4 km,0:00:15,820 km/h,179.1° true,4/14/2022 5:42,N41° 23.089' E64° 30.366'
680,11221 m,2.5 km,0:00:11,819 km/h,179.1° true,4/14/2022 5:42,N41° 21.248' E64° 30.406'
681,11068 m,2.7 km,0:00:12,818 km/h,179.1° true,4/14/2022 5:42,N41° 19.899' E64° 30.434'
682,10895 m,2.5 km,0:00:11,817 km/h,179.1° true,4/14/2022 5:43,N41° 18.429' E64° 30.464'
683,10733 m,2.3 km,0:00:10,815 km/h,179.2° true,4/14/2022 5:43,N41° 17.084' E64° 30.490'
684,10599 m,2.7 km,0:00:12,811 km/h,179.2° true,4/14/2022 5:43,N41° 15.864' E64° 30.514'
685,10458 m,2.5 km,0:00:11,806 km/h,179.2° true,4/14/2022 5:43,N41° 14.408' E64° 30.542'
686,10330 m,2.7 km,0:00:12,800 km/h,179.1° true,4/14/2022 5:43,N41° 13.081' E64° 30.569'
687,10191 m,2.4 km,0:00:11,796 km/h,179.1° true,4/14/2022 5:44,N41° 11.643' E64° 30.598'
688,10067 m,2.6 km,0:00:12,790 km/h,179.1° true,4/14/2022 5:44,N41° 10.333' E64° 30.626'
689,9936 m,2.4 km,0:00:11,786 km/h,179.1° true,4/14/2022 5:44,N41° 08.914' E64° 30.656'
690,9813 m,2.8 km,0:00:13,780 km/h,179.0° true,4/14/2022 5:44,N41° 07.620' E64° 30.682'
691,9669 m,3.0 km,0:00:14,774 km/h,179.1° true,4/14/2022 5:44,N41° 06.102' E64° 30.718'
692,9512 m,3.8 km,0:00:18,768 km/h,179.1° true,4/14/2022 5:45,N41° 04.480' E64° 30.752'
693,9309 m,3.8 km,0:00:18,762 km/h,179.1° true,4/14/2022 5:45,N41° 02.411' E64° 30.793'
694,9114 m,3.6 km,0:00:17,756 km/h,179.1° true,4/14/2022 5:45,N41° 00.357' E64° 30.835'
695,8930 m,2.5 km,0:00:12,751 km/h,179.2° true,4/14/2022 5:46,N40° 58.433' E64° 30.873'
696,8798 m,2.7 km,0:00:13,748 km/h,179.2° true,4/14/2022 5:46,N40° 57.084' E64° 30.899'
697,8650 m,2.7 km,0:00:13,744 km/h,179.1° true,4/14/2022 5:46,N40° 55.629' E64° 30.925'
698,8507 m,2.3 km,0:00:11,741 km/h,179.1° true,4/14/2022 5:46,N40° 54.181' E64° 30.954'
699,8386 m,2.9 km,0:00:14,739 km/h,179.1° true,4/14/2022 5:46,N40° 52.960' E64° 30.979'
700,8233 m,2.9 km,0:00:14,735 km/h,179.0° true,4/14/2022 5:47,N40° 51.412' E64° 31.012'
701,8081 m,2.4 km,0:00:12,733 km/h,179.1° true,4/14/2022 5:47,N40° 49.871' E64° 31.047'
702,7950 m,2.6 km,0:00:13,731 km/h,179.1° true,4/14/2022 5:47,N40° 48.555' E64° 31.075'
