Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
58,13 m,6 m,0:00:01,23 km/h,92.4° true,6/16/2023 12:08,N36° 32.630' E32° 00.470'
59,13 m,7 m,0:00:01,24 km/h,88.3° true,6/16/2023 12:08,N36° 32.630' E32° 00.474'
60,13 m,78 m,0:00:10,28 km/h,88.6° true,6/16/2023 12:08,N36° 32.630' E32° 00.479'
61,9 m,116 m,0:00:11,38 km/h,89.5° true,6/16/2023 12:08,N36° 32.631' E32° 00.531'
62,5 m,61 m,0:00:07,31 km/h,92.0° true,6/16/2023 12:08,N36° 32.632' E32° 00.609'
63,4 m,6 m,0:00:05,5 km/h,99.1° true,6/16/2023 12:09,N36° 32.631' E32° 00.649'
64,5 m,6 m,0:00:19,1.1 km/h,92.6° true,6/16/2023 12:09,N36° 32.630' E32° 00.654'
65,6 m,15 m,0:00:03,18 km/h,91.1° true,6/16/2023 12:09,N36° 32.630' E32° 00.657'
66,6 m,61 m,0:00:07,32 km/h,94.9° true,6/16/2023 12:09,N36° 32.630' E32° 00.667'
67,6 m,127 m,0:00:11,41 km/h,97.2° true,6/16/2023 12:09,N36° 32.627' E32° 00.708'
68,7 m,140 m,0:00:12,42 km/h,100.8° true,6/16/2023 12:09,N36° 32.619' E32° 00.793'
69,5 m,134 m,0:00:12,40 km/h,104.9° true,6/16/2023 12:09,N36° 32.604' E32° 00.885'
70,3 m,125 m,0:00:13,35 km/h,108.3° true,6/16/2023 12:10,N36° 32.586' E32° 00.971'
71,3 m,6 m,0:00:05,4.1 km/h,105.6° true,6/16/2023 12:10,N36° 32.565' E32° 01.051'
72,5 m,2 m,0:00:22,0.3 km/h,219.1° true,6/16/2023 12:10,N36° 32.564' E32° 01.055'
73,8 m,3 m,0:00:12,0.9 km/h,138.2° true,6/16/2023 12:10,N36° 32.563' E32° 01.054'
74,9 m,3 m,0:00:01,9 km/h,116.5° true,6/16/2023 12:11,N36° 32.562' E32° 01.055'
75,9 m,4 m,0:00:01,14 km/h,108.0° true,6/16/2023 12:11,N36° 32.561' E32° 01.057'
76,9 m,47 m,0:00:07,24 km/h,105.8° true,6/16/2023 12:11,N36° 32.561' E32° 01.059'
77,10 m,75 m,0:00:07,39 km/h,113.8° true,6/16/2023 12:11,N36° 32.554' E32° 01.090'
78,11 m,129 m,0:00:10,47 km/h,116.0° true,6/16/2023 12:11,N36° 32.537' E32° 01.136'
79,11 m,205 m,0:00:16,46 km/h,114.8° true,6/16/2023 12:11,N36° 32.507' E32° 01.214'
80,13 m,242 m,0:00:19,46 km/h,114.8° true,6/16/2023 12:11,N36° 32.460' E32° 01.339'
81,10 m,267 m,0:00:21,46 km/h,117.0° true,6/16/2023 12:12,N36° 32.406' E32° 01.486'
82,10 m,216 m,0:00:17,46 km/h,121.6° true,6/16/2023 12:12,N36° 32.340' E32° 01.646'
83,8 m,266 m,0:00:21,46 km/h,126.3° true,6/16/2023 12:12,N36° 32.279' E32° 01.769'
84,7 m,241 m,0:00:19,46 km/h,126.8° true,6/16/2023 12:13,N36° 32.194' E32° 01.913'
85,6 m,191 m,0:00:15,46 km/h,127.4° true,6/16/2023 12:13,N36° 32.117' E32° 02.043'
86,6 m,305 m,0:00:24,46 km/h,127.2° true,6/16/2023 12:13,N36° 32.054' E32° 02.144'
87,4 m,229 m,0:00:18,46 km/h,127.8° true,6/16/2023 12:14,N36° 31.955' E32° 02.307'
88,6 m,266 m,0:00:21,46 km/h,127.5° true,6/16/2023 12:14,N36° 31.879' E32° 02.428'
89,7 m,241 m,0:00:19,46 km/h,126.9° true,6/16/2023 12:14,N36° 31.792' E32° 02.570'
90,6 m,191 m,0:00:15,46 km/h,127.7° true,6/16/2023 12:14,N36° 31.714' E32° 02.699'
91,7 m,267 m,0:00:21,46 km/h,128.4° true,6/16/2023 12:15,N36° 31.651' E32° 02.801'
92,5 m,127 m,0:00:10,46 km/h,129.5° true,6/16/2023 12:15,N36° 31.562' E32° 02.941'
93,6 m,280 m,0:00:22,46 km/h,128.2° true,6/16/2023 12:15,N36° 31.518' E32° 03.007'
94,7 m,356 m,0:00:28,46 km/h,127.7° true,6/16/2023 12:16,N36° 31.425' E32° 03.154'
95,7 m,254 m,0:00:20,46 km/h,130.1° true,6/16/2023 12:16,N36° 31.307' E32° 03.343'
96,7 m,243 m,0:00:19,46 km/h,136.6° true,6/16/2023 12:16,N36° 31.219' E32° 03.473'
97,6 m,205 m,0:00:16,46 km/h,143.1° true,6/16/2023 12:17,N36° 31.124' E32° 03.585'
98,5 m,156 m,0:00:12,47 km/h,140.8° true,6/16/2023 12:17,N36° 31.036' E32° 03.668'
99,3 m,142 m,0:00:09,57 km/h,142.5° true,6/16/2023 12:17,N36° 30.971' E32° 03.734'
100,4 m,170 m,0:00:10,61 km/h,142.7° true,6/16/2023 12:17,N36° 30.910' E32° 03.792'
101,6 m,35 m,0:00:02,63 km/h,142.9° true,6/16/2023 12:18,N36° 30.837' E32° 03.861'
102,7 m,18 m,0:00:01,63 km/h,138.9° true,6/16/2023 12:18,N36° 30.822' E32° 03.875'
103,7 m,203 m,0:00:11,66 km/h,137.9° true,6/16/2023 12:18,N36° 30.815' E32° 03.883'
104,6 m,245 m,0:00:13,68 km/h,131.2° true,6/16/2023 12:18,N36° 30.734' E32° 03.974'
105,6 m,225 m,0:00:12,68 km/h,126.5° true,6/16/2023 12:18,N36° 30.647' E32° 04.098'
106,6 m,274 m,0:00:15,66 km/h,126.5° true,6/16/2023 12:18,N36° 30.575' E32° 04.219'
107,6 m,172 m,0:00:11,56 km/h,126.9° true,6/16/2023 12:18,N36° 30.487' E32° 04.366'
108,5 m,261 m,0:00:17,55 km/h,131.4° true,6/16/2023 12:19,N36° 30.431' E32° 04.459'
109,5 m,278 m,0:00:18,56 km/h,137.4° true,6/16/2023 12:19,N36° 30.338' E32° 04.590'
110,6 m,387 m,0:00:25,56 km/h,142.4° true,6/16/2023 12:19,N36° 30.228' E32° 04.716'
111,8 m,186 m,0:00:13,52 km/h,142.5° true,6/16/2023 12:20,N36° 30.062' E32° 04.875'
112,8 m,126 m,0:00:11,41 km/h,140.7° true,6/16/2023 12:20,N36° 29.983' E32° 04.951'
113,7 m,150 m,0:00:12,45 km/h,141.9° true,6/16/2023 12:20,N36° 29.930' E32° 05.005'
114,6 m,194 m,0:00:13,54 km/h,142.2° true,6/16/2023 12:20,N36° 29.866' E32° 05.067'
115,7 m,384 m,0:00:25,55 km/h,142.0° true,6/16/2023 12:20,N36° 29.784' E32° 05.146'
116,7 m,218 m,0:00:14,56 km/h,142.5° true,6/16/2023 12:21,N36° 29.621' E32° 05.305'
117,7 m,341 m,0:00:22,56 km/h,142.2° true,6/16/2023 12:21,N36° 29.528' E32° 05.393'
118,7 m,172 m,0:00:12,52 km/h,142.9° true,6/16/2023 12:21,N36° 29.383' E32° 05.533'
119,6 m,48 m,0:00:06,29 km/h,145.3° true,6/16/2023 12:22,N36° 29.309' E32° 05.603'
120,6 m,9 m,0:00:06,6 km/h,146.4° true,6/16/2023 12:22,N36° 29.287' E32° 05.621'
121,7 m,13 m,0:00:11,4.1 km/h,153.8° true,6/16/2023 12:22,N36° 29.283' E32° 05.625'
122,8 m,49 m,0:00:08,22 km/h,146.5° true,6/16/2023 12:22,N36° 29.277' E32° 05.628'
123,8 m,87 m,0:00:09,35 km/h,140.2° true,6/16/2023 12:22,N36° 29.255' E32° 05.647'
124,10 m,112 m,0:00:09,45 km/h,137.8° true,6/16/2023 12:22,N36° 29.219' E32° 05.684'
125,10 m,185 m,0:00:13,51 km/h,141.2° true,6/16/2023 12:22,N36° 29.174' E32° 05.734'
126,11 m,207 m,0:00:14,53 km/h,139.1° true,6/16/2023 12:23,N36° 29.097' E32° 05.812'
127,9 m,323 m,0:00:21,55 km/h,136.4° true,6/16/2023 12:23,N36° 29.012' E32° 05.903'
128,8 m,159 m,0:00:11,52 km/h,136.2° true,6/16/2023 12:23,N36° 28.886' E32° 06.052'
129,6 m,109 m,0:00:10,39 km/h,136.1° true,6/16/2023 12:23,N36° 28.825' E32° 06.126'
130,5 m,71 m,0:00:09,28 km/h,136.2° true,6/16/2023 12:24,N36° 28.782' E32° 06.176'
131,5 m,42 m,0:00:10,15 km/h,137.4° true,6/16/2023 12:24,N36° 28.754' E32° 06.210'
132,5 m,46 m,0:00:09,18 km/h,136.5° true,6/16/2023 12:24,N36° 28.738' E32° 06.229'
133,5 m,70 m,0:00:08,31 km/h,136.4° true,6/16/2023 12:24,N36° 28.720' E32° 06.250'
134,5 m,91 m,0:00:07,47 km/h,134.5° true,6/16/2023 12:24,N36° 28.692' E32° 06.282'
135,6 m,166 m,0:00:10,60 km/h,136.0° true,6/16/2023 12:24,N36° 28.658' E32° 06.326'
136,6 m,209 m,0:00:12,63 km/h,137.4° true,6/16/2023 12:24,N36° 28.594' E32° 06.403'
137,7 m,241 m,0:00:13,67 km/h,136.3° true,6/16/2023 12:25,N36° 28.511' E32° 06.498'
138,7 m,415 m,0:00:22,68 km/h,136.4° true,6/16/2023 12:25,N36° 28.417' E32° 06.609'
139,8 m,339 m,0:00:18,68 km/h,138.5° true,6/16/2023 12:25,N36° 28.255' E32° 06.801'
140,7 m,245 m,0:00:13,68 km/h,146.1° true,6/16/2023 12:26,N36° 28.118' E32° 06.951'
141,8 m,510 m,0:00:27,68 km/h,148.3° true,6/16/2023 12:26,N36° 28.009' E32° 07.043'
142,8 m,395 m,0:00:21,68 km/h,149.8° true,6/16/2023 12:26,N36° 27.775' E32° 07.222'
143,8 m,226 m,0:00:12,68 km/h,159.4° true,6/16/2023 12:27,N36° 27.591' E32° 07.356'
144,8 m,150 m,0:00:08,68 km/h,163.3° true,6/16/2023 12:27,N36° 27.477' E32° 07.409'
145,9 m,151 m,0:00:08,68 km/h,170.4° true,6/16/2023 12:27,N36° 27.399' E32° 07.438'
146,10 m,190 m,0:00:10,68 km/h,176.9° true,6/16/2023 12:27,N36° 27.319' E32° 07.455'
147,12 m,207 m,0:00:11,68 km/h,176.9° true,6/16/2023 12:27,N36° 27.217' E32° 07.461'
148,15 m,169 m,0:00:09,67 km/h,166.7° true,6/16/2023 12:27,N36° 27.106' E32° 07.469'
149,19 m,112 m,0:00:06,67 km/h,150.0° true,6/16/2023 12:28,N36° 27.017' E32° 07.495'
150,21 m,131 m,0:00:07,67 km/h,133.6° true,6/16/2023 12:28,N36° 26.965' E32° 07.533'
151,25 m,152 m,0:00:08,68 km/h,118.1° true,6/16/2023 12:28,N36° 26.916' E32° 07.596'
152,26 m,113 m,0:00:06,68 km/h,127.6° true,6/16/2023 12:28,N36° 26.878' E32° 07.686'
153,26 m,113 m,0:00:06,68 km/h,150.4° true,6/16/2023 12:28,N36° 26.841' E32° 07.746'
154,25 m,149 m,0:00:08,67 km/h,153.9° true,6/16/2023 12:28,N36° 26.788' E32° 07.783'
155,23 m,113 m,0:00:06,68 km/h,134.4° true,6/16/2023 12:28,N36° 26.715' E32° 07.827'
156,24 m,264 m,0:00:14,68 km/h,134.4° true,6/16/2023 12:28,N36° 26.673' E32° 07.881'
157,25 m,490 m,0:00:26,68 km/h,135.4° true,6/16/2023 12:29,N36° 26.573' E32° 08.008'
158,28 m,660 m,0:00:35,68 km/h,135.4° true,6/16/2023 12:29,N36° 26.385' E32° 08.238'
159,13 m,393 m,0:00:21,67 km/h,135.1° true,6/16/2023 12:30,N36° 26.132' E32° 08.549'
160,10 m,112 m,0:00:06,67 km/h,119.4° true,6/16/2023 12:30,N36° 25.981' E32° 08.735'
161,10 m,246 m,0:00:13,68 km/h,110.6° true,6/16/2023 12:30,N36° 25.952' E32° 08.800'
162,9 m,244 m,0:00:13,67 km/h,117.3° true,6/16/2023 12:30,N36° 25.905' E32° 08.954'
163,9 m,225 m,0:00:12,68 km/h,125.8° true,6/16/2023 12:30,N36° 25.845' E32° 09.099'
164,9 m,188 m,0:00:10,68 km/h,134.3° true,6/16/2023 12:31,N36° 25.774' E32° 09.222'
