Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
4124,63 m,442 m,0:00:05,318 km/h,55.9° true,1/10/2023 0:43,N23° 02.120' W81° 26.037'
4125,60 m,553 m,0:00:06,332 km/h,55.1° true,1/10/2023 0:43,N23° 02.253' W81° 25.823'
4126,103 m,636 m,0:00:07,327 km/h,54.1° true,1/10/2023 0:43,N23° 02.424' W81° 25.558'
4127,221 m,804 m,0:00:09,322 km/h,54.9° true,1/10/2023 0:44,N23° 02.624' W81° 25.256'
4128,353 m,811 m,0:00:09,325 km/h,55.4° true,1/10/2023 0:44,N23° 02.874' W81° 24.871'
4129,467 m,654 m,0:00:07,337 km/h,55.2° true,1/10/2023 0:44,N23° 03.122' W81° 24.480'
4130,532 m,594 m,0:00:06,357 km/h,54.2° true,1/10/2023 0:44,N23° 03.324' W81° 24.165'
4131,578 m,627 m,0:00:06,376 km/h,54.3° true,1/10/2023 0:44,N23° 03.511' W81° 23.883'
4132,625 m,761 m,0:00:07,391 km/h,55.2° true,1/10/2023 0:44,N23° 03.708' W81° 23.585'
4133,662 m,792 m,0:00:07,407 km/h,55.9° true,1/10/2023 0:44,N23° 03.942' W81° 23.219'
4134,684 m,709 m,0:00:06,425 km/h,56.1° true,1/10/2023 0:44,N23° 04.181' W81° 22.835'
4135,692 m,979 m,0:00:08,441 km/h,55.8° true,1/10/2023 0:45,N23° 04.394' W81° 22.490'
4136,733 m,1.0 km,0:00:08,453 km/h,56.6° true,1/10/2023 0:45,N23° 04.691' W81° 22.015'
4137,782 m,1.2 km,0:00:09,467 km/h,56.4° true,1/10/2023 0:45,N23° 04.989' W81° 21.522'
4138,842 m,1.2 km,0:00:09,477 km/h,56.0° true,1/10/2023 0:45,N23° 05.337' W81° 20.953'
4139,947 m,671 m,0:00:05,483 km/h,58.8° true,1/10/2023 0:45,N23° 05.697' W81° 20.373'
4140,1004 m,536 m,0:00:04,482 km/h,64.9° true,1/10/2023 0:45,N23° 05.885' W81° 20.036'
